iter	Passed	Remaining
0	9	9331
1	18	9207
2	25	8436
3	33	8221
4	40	8014
5	52	8759
6	61	8720
7	68	8502
8	75	8340
9	82	8150
10	88	7985
11	95	7847
12	102	7782
13	109	7683
14	115	7574
15	122	7507
16	128	7453
17	135	7393
18	142	7332
19	149	7318
20	156	7275
21	162	7240
22	169	7217
23	176	7177
24	183	7139
25	189	7099
26	196	7070
27	203	7055
28	210	7039
29	216	7014
30	223	6980
31	229	6951
32	236	6942
33	243	6917
34	250	6910
35	256	6879
36	264	6881
37	270	6850
38	276	6824
39	284	6818
40	290	6797
41	297	6788
42	304	6770
43	310	6754
44	317	6744
45	325	6745
46	332	6751
47	339	6730
48	346	6724
49	353	6708
50	360	6712
51	368	6713
52	374	6696
53	382	6697
54	389	6689
55	396	6680
56	403	6678
57	410	6672
58	417	6658
59	424	6646
60	431	6641
61	438	6634
62	445	6630
63	453	6627
64	460	6622
65	468	6624
66	475	6618
67	482	6613
68	490	6611
69	497	6606
70	504	6603
71	511	6597
72	518	6590
73	526	6591
74	534	6588
75	541	6582
76	548	6570
77	554	6556
78	562	6556
79	569	6545
80	576	6540
81	583	6529
82	590	6524
83	597	6516
84	604	6506
85	611	6495
86	617	6479
87	624	6467
88	631	6462
89	638	6452
90	644	6438
91	651	6430
92	658	6424
93	665	6414
94	673	6412
95	680	6404
96	687	6398
97	694	6394
98	702	6390
99	708	6378
100	715	6371
101	722	6361
102	730	6358
103	737	6355
104	744	6344
105	751	6334
106	757	6324
107	764	6316
108	771	6307
109	778	6299
110	786	6295
111	793	6287
112	800	6280
113	806	6269
114	813	6257
115	820	6249
116	826	6239
117	833	6230
118	841	6226
119	848	6220
120	855	6217
121	863	6211
122	869	6202
123	877	6196
124	884	6192
125	891	6185
126	898	6173
127	905	6166
128	912	6160
129	918	6148
130	926	6145
131	933	6139
132	941	6139
133	948	6130
134	956	6127
135	962	6117
136	970	6112
137	977	6103
138	983	6094
139	990	6085
140	997	6078
141	1004	6068
142	1011	6060
143	1018	6053
144	1025	6046
145	1032	6040
146	1039	6033
147	1046	6025
148	1054	6021
149	1060	6008
150	1067	6002
151	1075	5998
152	1081	5989
153	1089	5987
154	1097	5982
155	1104	5973
156	1110	5964
157	1118	5959
158	1125	5951
159	1132	5944
160	1138	5935
161	1146	5929
162	1154	5926
163	1161	5918
164	1168	5911
165	1174	5902
166	1181	5894
167	1188	5887
168	1196	5881
169	1202	5871
170	1209	5863
171	1216	5853
172	1222	5845
173	1229	5836
174	1236	5829
175	1242	5818
176	1249	5809
177	1255	5799
178	1262	5791
179	1270	5787
180	1277	5779
181	1285	5776
182	1291	5766
183	1298	5757
184	1305	5753
185	1313	5748
186	1320	5740
187	1326	5731
188	1336	5734
189	1345	5738
190	1353	5732
191	1360	5726
192	1368	5721
193	1376	5717
194	1386	5722
195	1393	5718
196	1401	5711
197	1408	5704
198	1415	5696
199	1421	5687
200	1427	5675
201	1434	5667
202	1441	5657
203	1447	5648
204	1454	5640
205	1461	5632
206	1469	5628
207	1475	5619
208	1482	5610
209	1488	5601
210	1495	5592
211	1502	5583
212	1509	5575
213	1516	5568
214	1522	5558
215	1528	5547
216	1534	5535
217	1542	5532
218	1549	5527
219	1556	5520
220	1564	5515
221	1571	5507
222	1579	5502
223	1586	5495
224	1594	5490
225	1600	5482
226	1607	5475
227	1615	5468
228	1621	5460
229	1629	5455
230	1636	5449
231	1644	5442
232	1651	5435
233	1658	5428
234	1666	5424
235	1672	5415
236	1680	5409
237	1686	5400
238	1694	5394
239	1701	5386
240	1707	5378
241	1715	5372
242	1722	5364
243	1728	5356
244	1736	5350
245	1743	5343
246	1751	5338
247	1758	5331
248	1765	5325
249	1773	5320
250	1780	5314
251	1788	5307
252	1794	5299
253	1801	5291
254	1808	5285
255	1815	5277
256	1822	5269
257	1829	5262
258	1836	5254
259	1843	5248
260	1851	5242
261	1859	5237
262	1866	5231
263	1873	5223
264	1880	5216
265	1888	5210
